"lakeid","year4","sta","depth","taxon","nreps","avg_ind","stdev_ind","avg_ind_per_m2","stdev_ind_per_m2","avg_ind_per_m3","stdev_ind_per_m3"
"AL",1983,1,8,"CHAOBORUS LARVAE",5,763,186.84,971.48,237.89,121.44,29.74
"AL",1983,1,8,"LEPTODORA",5,35.4,13.08,45.07,16.65,5.63,2.08
"AL",1983,1,8,"MYSIS",5,0,0,0,0,0,0
"BM",1983,1,19.2,"CHAOBORUS LARVAE",5,10,4.43,12.73,5.64,0.66,0.29
"BM",1983,1,19.2,"LEPTODORA",5,3.8,3.97,4.84,5.05,0.25,0.26
"BM",1983,1,19.2,"MYSIS",5,0,0,0,0,0,0
"CB",1983,1,2.5,"CHAOBORUS LARVAE",5,108,29.18,137.51,37.15,55,14.86
"CB",1983,1,2.5,"LEPTODORA",5,0,0,0,0,0,0
"CB",1983,1,2.5,"MYSIS",5,0,0,0,0,0,0
"CR",1983,1,19.9,"CHAOBORUS LARVAE",5,3,0.63,3.82,0.81,0.19,0.04
"CR",1983,1,19.9,"LEPTODORA",5,227.4,38.69,289.53,49.26,14.55,2.48
"CR",1983,1,19.9,"MYSIS",5,0,0,0,0,0,0
"SP",1983,1,19.9,"CHAOBORUS LARVAE",5,2.4,1.62,3.06,2.07,0.15,0.1
"SP",1983,1,19.9,"LEPTODORA",5,0.6,0.8,0.76,1.02,0.04,0.05
"SP",1983,1,19.9,"MYSIS",5,0,0,0,0,0,0
"TB",1983,1,6.5,"CHAOBORUS LARVAE",5,59.8,29.38,76.14,37.41,11.71,5.76
"TB",1983,1,6.5,"LEPTODORA",5,0,0,0,0,0,0
"TB",1983,1,6.5,"MYSIS",5,0,0,0,0,0,0
"TR",1983,4,11.2,"CHAOBORUS LARVAE",3,65,10.23,82.76,13.03,7.39,1.16
"TR",1983,4,11.2,"LEPTODORA",3,160.33,61.16,204.14,77.87,18.23,6.95
"TR",1983,4,11.2,"MYSIS",3,4,0.82,5.09,1.04,0.45,0.09
"TR",1983,5,16.5,"CHAOBORUS LARVAE",3,21.33,3.86,27.16,4.91,1.65,0.3
"TR",1983,5,16.5,"LEPTODORA",3,78,21.28,99.31,27.09,6.02,1.64
"TR",1983,5,16.5,"MYSIS",3,49.33,18.37,62.81,23.39,3.81,1.42
"TR",1983,6,21.5,"CHAOBORUS LARVAE",5,20.6,6.22,26.23,7.91,1.22,0.37
"TR",1983,6,21.5,"LEPTODORA",5,100,36.85,127.32,46.92,5.92,2.18
"TR",1983,6,21.5,"MYSIS",5,43.4,13.84,55.26,17.62,2.57,0.82
"TR",1983,7,25.7,"CHAOBORUS LARVAE",2,23.5,1.5,29.92,1.91,1.16,0.07
"TR",1983,7,25.7,"LEPTODORA",2,85,14,108.23,17.83,4.21,0.69
"TR",1983,7,25.7,"MYSIS",2,47.5,4.5,60.48,5.73,2.35,0.22
"TR",1983,2,31.6,"CHAOBORUS LARVAE",3,4.67,2.36,5.94,3,0.19,0.09
"TR",1983,2,31.6,"LEPTODORA",3,116.33,56.83,148.12,72.36,4.69,2.29
"TR",1983,2,31.6,"MYSIS",3,1.67,1.25,2.12,1.59,0.07,0.05
"AL",1984,1,7,"CHAOBORUS LARVAE",5,177.2,60.31,225.62,76.79,32.23,10.97
"AL",1984,1,7,"LEPTODORA",5,32.2,11.3,41,14.39,5.86,2.06
"AL",1984,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1984,1,18,"CHAOBORUS LARVAE",5,60.2,21.14,76.65,26.92,4.26,1.5
"BM",1984,1,18,"LEPTODORA",5,0.6,0.8,0.76,1.02,0.04,0.06
"BM",1984,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",1984,1,1.5,"CHAOBORUS LARVAE",5,66,24.27,84.03,30.91,56.02,20.6
"CB",1984,1,1.5,"LEPTODORA",5,17.6,22.7,22.41,28.91,14.94,19.27
"CB",1984,1,1.5,"MYSIS",5,0,0,0,0,0,0
"CR",1984,1,18,"CHAOBORUS LARVAE",5,12.2,6.27,15.53,7.99,0.86,0.44
"CR",1984,1,18,"LEPTODORA",5,720,164.8,916.73,209.84,50.93,11.66
"CR",1984,1,18,"MYSIS",5,0,0,0,0,0,0
"SP",1984,1,18.5,"CHAOBORUS LARVAE",4,20.25,3.19,25.78,4.06,1.39,0.22
"SP",1984,1,18.5,"LEPTODORA",4,298.25,55.87,379.74,71.14,20.53,3.85
"SP",1984,1,18.5,"MYSIS",4,0,0,0,0,0,0
"TB",1984,1,7.5,"CHAOBORUS LARVAE",5,74.2,21.68,94.47,27.61,12.6,3.68
"TB",1984,1,7.5,"LEPTODORA",5,0.4,0.49,0.51,0.62,0.07,0.08
"TB",1984,1,7.5,"MYSIS",5,0,0,0,0,0,0
"TR",1984,4,10,"CHAOBORUS LARVAE",5,47.8,18.48,60.86,23.52,6.09,2.35
"TR",1984,4,10,"LEPTODORA",5,110.2,70.94,140.31,90.32,14.03,9.03
"TR",1984,4,10,"MYSIS",5,0,0,0,0,0,0
"TR",1984,5,15,"CHAOBORUS LARVAE",1,142,0,180.8,0,12.05,0
"TR",1984,5,15,"LEPTODORA",1,118,0,150.24,0,10.02,0
"TR",1984,5,15,"MYSIS",1,0,0,0,0,0,0
"TR",1984,8,18,"CHAOBORUS LARVAE",3,19,11.31,24.19,14.41,1.34,0.8
"TR",1984,8,18,"LEPTODORA",3,108.67,14.82,138.36,18.87,7.69,1.05
"TR",1984,8,18,"MYSIS",3,39.33,14.08,50.08,17.93,2.78,1
"TR",1984,6,20,"CHAOBORUS LARVAE",1,27,0,34.38,0,1.72,0
"TR",1984,6,20,"LEPTODORA",1,122,0,155.34,0,7.77,0
"TR",1984,6,20,"MYSIS",1,36,0,45.84,0,2.29,0
"TR",1984,7,25,"CHAOBORUS LARVAE",4,24.75,7.5,31.51,9.54,1.26,0.38
"TR",1984,7,25,"LEPTODORA",4,140.25,15.51,178.57,19.75,7.14,0.79
"TR",1984,7,25,"MYSIS",4,30,4.85,38.2,6.17,1.53,0.25
"TR",1984,2,30,"CHAOBORUS LARVAE",3,37.33,16.05,47.53,20.43,1.58,0.68
"TR",1984,2,30,"LEPTODORA",3,54.67,28.77,69.6,36.63,2.32,1.22
"TR",1984,2,30,"MYSIS",3,5.33,3.68,6.79,4.69,0.23,0.16
"AL",1985,1,7,"CHAOBORUS LARVAE",5,718.4,156.87,914.7,199.74,130.67,28.53
"AL",1985,1,7,"LEPTODORA",5,391.4,132.49,498.35,168.69,71.19,24.1
"AL",1985,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1985,1,18,"CHAOBORUS LARVAE",5,306.8,61.43,390.63,78.21,21.7,4.35
"BM",1985,1,18,"LEPTODORA",5,9.2,8.54,11.71,10.88,0.65,0.6
"BM",1985,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",1985,1,2,"CHAOBORUS LARVAE",5,73.8,26.03,93.97,33.14,46.98,16.57
"CB",1985,1,2,"LEPTODORA",5,88.6,100.25,112.81,127.65,56.4,63.82
"CB",1985,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1985,1,18,"CHAOBORUS LARVAE",5,24.2,10.13,30.81,12.89,1.71,0.72
"CR",1985,1,18,"LEPTODORA",5,993.6,146.98,1265.09,187.14,70.28,10.4
"CR",1985,1,18,"MYSIS",5,0,0,0,0,0,0
"SP",1985,1,18,"CHAOBORUS LARVAE",5,32.6,5.57,41.51,7.09,2.31,0.39
"SP",1985,1,18,"LEPTODORA",5,0,0,0,0,0,0
"SP",1985,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",1985,1,7,"CHAOBORUS LARVAE",5,123,45.51,156.61,57.94,22.37,8.28
"TB",1985,1,7,"LEPTODORA",5,12.8,7.93,16.3,10.1,2.33,1.44
"TB",1985,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1985,4,10,"CHAOBORUS LARVAE",3,30.67,8.5,39.05,10.82,3.9,1.08
"TR",1985,4,10,"LEPTODORA",3,60.33,23.11,76.82,29.43,7.68,2.94
"TR",1985,4,10,"MYSIS",3,0.33,0.47,0.42,0.6,0.04,0.06
"TR",1985,5,14,"CHAOBORUS LARVAE",3,28.33,1.25,36.08,1.59,2.58,0.11
"TR",1985,5,14,"LEPTODORA",3,31.33,11.09,39.89,14.11,2.85,1.01
"TR",1985,5,14,"MYSIS",3,88.33,29.1,112.47,37.05,8.03,2.65
"TR",1985,6,21,"CHAOBORUS LARVAE",3,26.33,6.13,33.53,7.8,1.6,0.37
"TR",1985,6,21,"LEPTODORA",3,18.67,0.94,23.77,1.2,1.13,0.06
"TR",1985,6,21,"MYSIS",3,75.67,6.13,96.34,7.8,4.59,0.37
"TR",1985,7,24,"CHAOBORUS LARVAE",3,28.33,3.4,36.08,4.33,1.5,0.18
"TR",1985,7,24,"LEPTODORA",3,21,5.66,26.74,7.2,1.11,0.3
"TR",1985,7,24,"MYSIS",3,60.33,6.24,76.82,7.94,3.2,0.33
"TR",1985,2,29,"CHAOBORUS LARVAE",5,19.6,3.93,24.96,5,0.86,0.17
"TR",1985,2,29,"LEPTODORA",5,105.2,30.45,133.94,38.77,4.62,1.34
"TR",1985,2,29,"MYSIS",5,27.4,7.36,34.89,9.38,1.2,0.32
"AL",1986,1,7,"CHAOBORUS LARVAE",5,237.6,53.14,302.52,67.65,43.22,9.66
"AL",1986,1,7,"LEPTODORA",5,9.2,3.82,11.71,4.86,1.67,0.69
"AL",1986,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1986,1,19,"CHAOBORUS LARVAE",5,309.8,67.21,394.45,85.58,20.76,4.5
"BM",1986,1,19,"CHAOBORUS PUPAE",3,32.67,3.68,41.59,4.69,2.19,0.25
"BM",1986,1,19,"LEPTODORA",5,2.2,1.47,2.8,1.87,0.15,0.1
"BM",1986,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1986,1,2,"CHAOBORUS LARVAE",5,259.2,181.89,330.02,231.59,165.01,115.79
"CB",1986,1,2,"LEPTODORA",5,21.2,21.46,26.99,27.32,13.5,13.66
"CB",1986,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1986,1,19,"CHAOBORUS LARVAE",5,1.2,1.17,1.53,1.48,0.08,0.08
"CR",1986,1,19,"CHAOBORUS PUPAE",5,0.6,0.49,0.76,0.62,0.04,0.03
"CR",1986,1,19,"LEPTODORA",5,162.4,26.81,206.77,34.13,10.88,1.8
"CR",1986,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",1986,1,19,"CHAOBORUS LARVAE",5,7,4.86,8.91,6.19,0.47,0.33
"SP",1986,1,19,"LEPTODORA",5,37.8,7.78,48.13,9.91,2.53,0.52
"SP",1986,1,19,"MYSIS",5,0,0,0,0,0,0
"TB",1986,1,7,"CHAOBORUS LARVAE",5,192.8,75,245.48,95.49,35.07,13.64
"TB",1986,1,7,"CHAOBORUS PUPAE",5,0.4,0.49,0.51,0.62,0.07,0.09
"TB",1986,1,7,"LEPTODORA",5,0,0,0,0,0,0
"TB",1986,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1986,4,10,"CHAOBORUS LARVAE",3,31,22.02,39.47,28.03,3.95,2.8
"TR",1986,4,10,"LEPTODORA",3,69.33,20.24,88.28,25.77,8.83,2.58
"TR",1986,4,10,"MYSIS",3,0,0,0,0,0,0
"TR",1986,5,16,"CHAOBORUS LARVAE",3,5.67,2.49,7.22,3.18,0.45,0.2
"TR",1986,5,16,"LEPTODORA",3,44.67,11.15,56.87,14.19,3.55,0.89
"TR",1986,5,16,"MYSIS",3,54.67,8.01,69.6,10.2,4.35,0.64
"TR",1986,6,20,"CHAOBORUS LARVAE",3,7.33,2.05,9.34,2.62,0.47,0.13
"TR",1986,6,20,"LEPTODORA",3,27.33,2.49,34.8,3.18,1.74,0.16
"TR",1986,6,20,"MYSIS",3,43.67,5.31,55.6,6.76,2.78,0.34
"TR",1986,7,25,"CHAOBORUS LARVAE",3,13.33,0.94,16.98,1.2,0.68,0.05
"TR",1986,7,25,"LEPTODORA",3,43.33,17.33,55.17,22.06,2.21,0.88
"TR",1986,7,25,"MYSIS",3,19.67,1.89,25.04,2.4,1,0.1
"TR",1986,2,31.5,"CHAOBORUS LARVAE",5,28.4,9.87,36.16,12.57,1.15,0.4
"TR",1986,2,31.5,"LEPTODORA",5,60.4,13.81,76.9,17.58,2.44,0.56
"TR",1986,2,31.5,"MYSIS",5,1.2,1.47,1.53,1.87,0.05,0.06
"AL",1987,1,6,"CHAOBORUS LARVAE",5,456.2,60.79,580.85,77.4,96.81,12.9
"AL",1987,1,6,"CHAOBORUS PUPAE",5,29.2,5.53,37.18,7.04,6.2,1.17
"AL",1987,1,6,"LEPTODORA",5,43.8,13.06,55.77,16.63,9.29,2.77
"AL",1987,1,6,"MYSIS",5,0,0,0,0,0,0
"BM",1987,1,18,"CHAOBORUS LARVAE",5,325.2,99.36,414.06,126.51,23,7.03
"BM",1987,1,18,"CHAOBORUS PUPAE",5,5.8,4.26,7.38,5.43,0.41,0.3
"BM",1987,1,18,"LEPTODORA",5,2.6,1.85,3.31,2.36,0.18,0.13
"BM",1987,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",1987,1,2,"CHAOBORUS LARVAE",5,1204.4,766.84,1533.49,976.37,766.75,488.18
"CB",1987,1,2,"CHAOBORUS PUPAE",5,1.4,1.5,1.78,1.91,0.89,0.95
"CB",1987,1,2,"LEPTODORA",5,8.6,12.31,10.95,15.67,5.47,7.83
"CB",1987,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1987,1,18,"MYSIS",5,0,0,0,0,0,0
"CR",1987,1,19,"CHAOBORUS LARVAE",5,1.6,1.02,2.04,1.3,0.11,0.07
"CR",1987,1,19,"CHAOBORUS PUPAE",5,0.2,0.4,0.25,0.51,0.01,0.03
"CR",1987,1,19,"LEPTODORA",5,463.2,286.69,589.76,365.02,31.04,19.21
"SP",1987,1,17,"CHAOBORUS LARVAE",5,0.4,0.49,0.51,0.62,0.03,0.04
"SP",1987,1,17,"CHAOBORUS PUPAE",5,0.2,0.4,0.25,0.51,0.01,0.03
"SP",1987,1,17,"LEPTODORA",5,30,12.65,38.2,16.11,2.25,0.95
"SP",1987,1,17,"MYSIS",5,0,0,0,0,0,0
"TB",1987,1,6,"CHAOBORUS LARVAE",5,262,98.8,333.59,125.8,55.6,20.97
"TB",1987,1,6,"CHAOBORUS PUPAE",5,0.8,1.17,1.02,1.48,0.17,0.25
"TB",1987,1,6,"LEPTODORA",5,0,0,0,0,0,0
"TB",1987,1,6,"MYSIS",5,0,0,0,0,0,0
"TR",1987,4,10,"CHAOBORUS LARVAE",3,32.33,3.77,41.17,4.8,4.12,0.48
"TR",1987,4,10,"CHAOBORUS PUPAE",3,4.33,1.25,5.52,1.59,0.55,0.16
"TR",1987,4,10,"LEPTODORA",3,38.33,16.36,48.81,20.83,4.88,2.08
"TR",1987,4,10,"MYSIS",3,0,0,0,0,0,0
"TR",1987,5,15,"CHAOBORUS LARVAE",3,29.33,5.31,37.35,6.76,2.49,0.45
"TR",1987,5,15,"CHAOBORUS PUPAE",3,5.67,1.7,7.22,2.16,0.48,0.14
"TR",1987,5,15,"LEPTODORA",3,37.67,8.18,47.96,10.41,3.2,0.69
"TR",1987,5,15,"MYSIS",3,7.67,5.44,9.76,6.92,0.65,0.46
"TR",1987,6,20,"CHAOBORUS LARVAE",3,17.33,4.78,22.07,6.09,1.1,0.3
"TR",1987,6,20,"CHAOBORUS PUPAE",3,6.33,2.05,8.06,2.62,0.4,0.13
"TR",1987,6,20,"LEPTODORA",3,54,3.56,68.75,4.53,3.44,0.23
"TR",1987,6,20,"MYSIS",3,10.33,4.78,13.16,6.09,0.66,0.3
"TR",1987,7,25,"CHAOBORUS LARVAE",3,22.33,8.73,28.44,11.12,1.14,0.44
"TR",1987,7,25,"CHAOBORUS PUPAE",3,5.67,1.25,7.22,1.59,0.29,0.06
"TR",1987,7,25,"LEPTODORA",3,46.33,6.6,58.99,8.4,2.36,0.34
"TR",1987,7,25,"MYSIS",3,12.33,2.87,15.7,3.65,0.63,0.15
"TR",1987,2,31,"CHAOBORUS LARVAE",5,25,5.73,31.83,7.29,1.03,0.24
"TR",1987,2,31,"CHAOBORUS PUPAE",5,2.8,0.4,3.57,0.51,0.12,0.02
"TR",1987,2,31,"LEPTODORA",5,67.8,11.72,86.33,14.92,2.78,0.48
"TR",1987,2,31,"MYSIS",5,0.2,0.4,0.25,0.51,0.01,0.02
"AL",1988,1,6,"CHAOBORUS LARVAE",5,339.8,159.01,432.65,202.46,72.11,33.74
"AL",1988,1,6,"CHAOBORUS PUPAE",5,5.4,3.01,6.88,3.83,1.15,0.64
"AL",1988,1,6,"LEPTODORA",5,136,63.44,173.16,80.78,28.86,13.46
"AL",1988,1,6,"MYSIS",5,0,0,0,0,0,0
"BM",1988,1,19,"CHAOBORUS LARVAE",5,41.4,10.13,52.71,12.9,2.77,0.68
"BM",1988,1,19,"CHAOBORUS PUPAE",5,6.6,1.62,8.4,2.07,0.44,0.11
"BM",1988,1,19,"LEPTODORA",5,26.6,11.72,33.87,14.93,1.78,0.79
"BM",1988,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1988,1,1.25,"CHAOBORUS LARVAE",5,702,296.13,893.81,377.04,715.05,301.63
"CB",1988,1,1.25,"CHAOBORUS PUPAE",5,0.4,0.49,0.51,0.62,0.41,0.5
"CB",1988,1,1.25,"LEPTODORA",5,0.2,0.4,0.25,0.51,0.2,0.41
"CB",1988,1,1.25,"MYSIS",5,0,0,0,0,0,0
"CR",1988,1,18,"CHAOBORUS LARVAE",5,0.4,0.49,0.51,0.62,0.03,0.03
"CR",1988,1,18,"CHAOBORUS PUPAE",5,0.2,0.4,0.25,0.51,0.01,0.03
"CR",1988,1,18,"LEPTODORA",5,142,60.22,180.8,76.67,10.04,4.26
"CR",1988,1,18,"MYSIS",5,0,0,0,0,0,0
"SP",1988,1,17,"CHAOBORUS LARVAE",5,11.6,5.28,14.77,6.72,0.87,0.4
"SP",1988,1,17,"CHAOBORUS PUPAE",5,1.8,0.75,2.29,0.95,0.13,0.06
"SP",1988,1,17,"LEPTODORA",5,12,8.07,15.28,10.28,0.9,0.6
"SP",1988,1,17,"MYSIS",5,0,0,0,0,0,0
"TB",1988,1,5.25,"CHAOBORUS LARVAE",5,1544.8,756.96,1966.9,963.8,374.65,183.58
"TB",1988,1,5.25,"CHAOBORUS PUPAE",5,8.6,6.15,10.95,7.83,2.09,1.49
"TB",1988,1,5.25,"LEPTODORA",5,0,0,0,0,0,0
"TB",1988,1,5.25,"MYSIS",5,0,0,0,0,0,0
"TR",1988,4,9,"CHAOBORUS LARVAE",3,4.33,1.25,5.52,1.59,0.61,0.18
"TR",1988,4,9,"CHAOBORUS PUPAE",3,3.67,0.47,4.67,0.6,0.52,0.07
"TR",1988,4,9,"LEPTODORA",3,125.33,4.92,159.58,6.27,17.73,0.7
"TR",1988,4,9,"MYSIS",3,11.33,6.02,14.43,7.66,1.6,0.85
"TR",1988,5,15,"CHAOBORUS LARVAE",3,10.33,1.7,13.16,2.16,0.88,0.14
"TR",1988,5,15,"CHAOBORUS PUPAE",3,6.67,1.7,8.49,2.16,0.57,0.14
"TR",1988,5,15,"LEPTODORA",3,45,2.83,57.3,3.6,3.82,0.24
"TR",1988,5,15,"MYSIS",3,46.67,6.02,59.42,7.66,3.96,0.51
"TR",1988,6,19,"CHAOBORUS LARVAE",3,10.67,3.3,13.58,4.2,0.71,0.22
"TR",1988,6,19,"CHAOBORUS PUPAE",3,5.33,0.47,6.79,0.6,0.36,0.03
"TR",1988,6,19,"LEPTODORA",3,81.67,43.49,103.98,55.38,5.47,2.91
"TR",1988,6,19,"MYSIS",3,87,16.87,110.77,21.48,5.83,1.13
"TR",1988,7,24,"CHAOBORUS LARVAE",3,7.33,1.7,9.34,2.16,0.39,0.09
"TR",1988,7,24,"CHAOBORUS PUPAE",3,3.33,1.25,4.24,1.59,0.18,0.07
"TR",1988,7,24,"LEPTODORA",3,78.67,20.53,100.16,26.14,4.17,1.09
"TR",1988,7,24,"MYSIS",3,73.33,14.08,93.37,17.93,3.89,0.75
"TR",1988,2,31,"CHAOBORUS LARVAE",5,12,4.38,15.28,5.58,0.49,0.18
"TR",1988,2,31,"CHAOBORUS PUPAE",5,5.8,1.47,7.38,1.87,0.24,0.06
"TR",1988,2,31,"LEPTODORA",5,31.2,7.57,39.73,9.64,1.28,0.31
"TR",1988,2,31,"MYSIS",5,0.8,0.75,1.02,0.95,0.03,0.03
"AL",1989,1,7,"CHAOBORUS LARVAE",5,611.2,250.89,778.2,319.45,111.17,45.64
"AL",1989,1,7,"LEPTODORA",5,3.6,3.14,4.58,3.99,0.65,0.57
"AL",1989,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1989,1,18,"CHAOBORUS LARVAE",5,111.8,25.59,142.35,32.58,7.91,1.81
"BM",1989,1,18,"LEPTODORA",5,0.4,0.8,0.51,1.02,0.03,0.06
"BM",1989,1,18,"MYSIS",5,0.2,0.4,0.25,0.51,0.01,0.03
"CB",1989,1,3,"CHAOBORUS LARVAE",5,372,121.95,473.65,155.27,157.88,51.76
"CB",1989,1,3,"LEPTODORA",5,0,0,0,0,0,0
"CB",1989,1,3,"MYSIS",5,0,0,0,0,0,0
"CR",1989,1,20,"CHAOBORUS LARVAE",5,20.2,12.91,25.72,16.43,1.29,0.82
"CR",1989,1,20,"LEPTODORA",5,106,67.74,134.96,86.25,6.75,4.31
"CR",1989,1,20,"MYSIS",5,0.2,0.4,0.25,0.51,0.01,0.03
"SP",1989,1,17,"CHAOBORUS LARVAE",5,5.4,3.72,6.88,4.74,0.4,0.28
"SP",1989,1,17,"LEPTODORA",5,13.8,7.19,17.57,9.16,1.03,0.54
"SP",1989,1,17,"MYSIS",5,0,0,0,0,0,0
"TB",1989,1,6,"CHAOBORUS LARVAE",5,437.4,191.07,556.92,243.28,92.82,40.55
"TB",1989,1,6,"LEPTODORA",5,1.2,1.94,1.53,2.47,0.25,0.41
"TB",1989,1,6,"MYSIS",5,0,0,0,0,0,0
"TR",1989,4,10,"CHAOBORUS LARVAE",3,0.67,0.94,0.85,1.2,0.08,0.12
"TR",1989,4,10,"LEPTODORA",3,37.33,11.12,47.53,14.15,4.75,1.42
"TR",1989,4,10,"MYSIS",3,46.67,8.18,59.42,10.41,5.94,1.04
"TR",1989,5,15,"CHAOBORUS LARVAE",3,1.67,1.7,2.12,2.16,0.14,0.14
"TR",1989,5,15,"LEPTODORA",3,88.33,25.3,112.47,32.22,7.5,2.15
"TR",1989,5,15,"MYSIS",3,88.33,26.39,112.47,33.6,7.5,2.24
"TR",1989,6,20,"CHAOBORUS LARVAE",3,5.33,0.47,6.79,0.6,0.34,0.03
"TR",1989,6,20,"LEPTODORA",3,48,23.34,61.12,29.71,3.06,1.49
"TR",1989,6,20,"MYSIS",3,101,38.74,128.6,49.32,6.43,2.47
"TR",1989,7,25,"CHAOBORUS LARVAE",3,5,1.63,6.37,2.08,0.25,0.08
"TR",1989,7,25,"LEPTODORA",3,62.67,6.13,79.79,7.8,3.19,0.31
"TR",1989,7,25,"MYSIS",3,20.33,4.03,25.89,5.13,1.04,0.21
"TR",1989,2,30,"CHAOBORUS LARVAE",5,11,3.1,14.01,3.94,0.47,0.13
"TR",1989,2,30,"LEPTODORA",5,58.2,5.46,74.1,6.95,2.47,0.23
"TR",1989,2,30,"MYSIS",5,1.8,0.98,2.29,1.25,0.08,0.04
"AL",1990,1,7,"CHAOBORUS LARVAE",5,2451,596.18,3120.71,759.08,445.82,108.44
"AL",1990,1,7,"LEPTODORA",5,22.2,18.7,28.27,23.81,4.04,3.4
"AL",1990,1,7,"MYSIS",5,0.2,0.4,0.25,0.51,0.04,0.07
"BM",1990,1,16,"CHAOBORUS LARVAE",5,113.8,17.72,144.89,22.57,9.06,1.41
"BM",1990,1,16,"LEPTODORA",5,11.6,15.03,14.77,19.13,0.92,1.2
"BM",1990,1,16,"MYSIS",5,0,0,0,0,0,0
"CB",1990,1,3,"CHAOBORUS LARVAE",5,434,357.43,552.59,455.1,184.2,151.7
"CB",1990,1,3,"LEPTODORA",5,0,0,0,0,0,0
"CB",1990,1,3,"MYSIS",5,0,0,0,0,0,0
"CR",1990,1,17,"CHAOBORUS LARVAE",5,4.6,1.96,5.86,2.5,0.34,0.15
"CR",1990,1,17,"LEPTODORA",5,101.2,39.33,128.85,50.07,7.58,2.95
"CR",1990,1,17,"MYSIS",5,0,0,0,0,0,0
